X,Y,field_1,field_2,field_3,field_4,field_5,field_6,field_7,field_8,field_9
476568.86820745,4433645.905686,-105.27471,40.05273,8721,40.05273,-105.27471,1379430114,2013-09-17 09:01:54,ASU,#Mudflood at the elementary school! #COflood #boulderflood @ Crestview Park Playground http://t.co/D2bsYKczH9
489461.542640816,4420088.07527036,-105.12333504,39.93083652,8744,39.93083652,-105.12333504,1379429860,2013-09-17 08:57:40,ASU,"Not a cloud in the sky this morning above Boulder, CO. Hopefully a relief for people here. #colorado #coflood http://t.co/kge8S9qg6b"
476244.130859802,4428066.60325814,-105.27831287,40.00245333,9116,40.00245333,-105.27831287,1379425577,2013-09-17 07:46:17,ASU,Update on #boulderflood community collection sites @bouldercolorado - Media Contacts: 720-564-2935 http://t.co/9jRj0IDIOn
479526.689563774,4431037.92366271,-105.23995,40.02931,9265,40.02931,-105.23995,1379424223,2013-09-17 07:23:43,ASU,Can anybody take my lab mix for a few days while I clean up and repair? thanks #boulderflood
476175.542092987,4433060.68275583,-105.27929984,40.04744634,9280,40.04744634,-105.27929984,1379424064,2013-09-17 07:21:04,ASU,Thanks to the @YMCABV for opening their doors for those affected by #boulderflood and the @RedCrossDenver.
479526.689563774,4431037.92366271,-105.23995,40.02931,9284,40.02931,-105.23995,1379423987,2013-09-17 07:19:47,ASU,FEMA Declared Disaster Area Colorado #FEMA #COFlood #Boulder #SafeguardProperties http://t.co/d0k7dimbgu
480289.94960423,4431915.34929829,-105.23103123,40.0372335,9300,40.0372335,-105.23103123,1379423725,2013-09-17 07:15:25,ASU,Morning briefing for the #boulderflood incident #coloradoflooding @nbcnews continuing coverage @… http://t.co/VPqpLWZCAZ
478264.008971999,4430396.18982187,-105.25472715,40.0234966,10372,40.0234966,-105.25472715,1379391690,2013-09-16 22:21:30,ASU,Please help spread the word.... #Boulder #Ciclovia #boulderflood @bouldergobldr @BoulderParking @bouldercolorado http://t.co/dl8EdjU8zW
479526.689563774,4431037.92366271,-105.23995,40.02931,10829,40.02931,-105.23995,1379387666,2013-09-16 21:14:26,ASU,"@retouchriley We’ve aggregated some data about #boulderflood here as well. Where to go, how to help, how to get help http://t.co/ZPfXFR03gO"
477802.240093423,4428121.59211403,-105.26006084,40.00299116,10893,40.00299116,-105.26006084,1379387284,2013-09-16 21:08:04,ASU,After a week of rain we finally have our rainbow! 😊🌈 ☀#repost #rainbow #boulderflood @ Kittredge Fields http://t.co/A1a06RI4yg
479526.689563774,4431037.92366271,-105.23995,40.02931,10911,40.02931,-105.23995,1379387187,2013-09-16 21:06:27,ASU,If anyone has anymore relief / crisis organizations helping with #boulderflood please let us know http://t.co/ZPfXFR03gO @nullempire
479526.689563774,4431037.92366271,-105.23995,40.02931,11017,40.02931,-105.23995,1379386480,2013-09-16 20:54:40,ASU,@Michiganborn58 @denverpost We have aggregated some more #boulderflood data here as well http://t.co/ayClmSzxGI
475738.458238881,4429583.73277301,-105.28429373,40.0161078,11438,40.0161078,-105.28429373,1379383885,2013-09-16 20:11:25,ASU,Sherpa papadums is much more soggy than normal #boulderflood
479526.689563774,4431037.92366271,-105.23995,40.02931,11731,40.02931,-105.23995,1379382214,2013-09-16 19:43:34,ASU,Anyone know if the Goose Creek bike path is passable out to Valmont? #BoulderFlood
479846.263734592,4425736.98347826,-105.23604004,39.98155772,11860,39.98155772,-105.23604004,1379381423,2013-09-16 19:30:23,ASU,My uncle just sent me this #funnybutnot #boulderflood #welcometocolorado http://t.co/VhJlOfKBsJ
476881.864149021,4429673.37491759,-105.27089878,40.01694754,12153,40.01694754,-105.27089878,1379379152,2013-09-16 18:52:32,ASU,Creekside next to house looks like gutter in Belfast on March 18. #samsungfail #boulderflood @ the new… http://t.co/IeEwPhjiYh
479526.689563774,4431037.92366271,-105.23995,40.02931,12485,40.02931,-105.23995,1379376670,2013-09-16 18:11:10,ASU,@OttoBott thanks Zach… just pushed some updates http://t.co/ZPfXFR03gO #boulderflood
479526.689563774,4431037.92366271,-105.23995,40.02931,12494,40.02931,-105.23995,1379376616,2013-09-16 18:10:16,ASU,Just added a crisis map to http://t.co/ayClmSzxGI #boulderflood
476057.513542052,4429994.54141187,-105.28057028,40.01981816,12498,40.01981816,-105.28057028,1379376572,2013-09-16 18:09:32,ASU,there's my Colorado blue sky #boulder #theseskiesaregonnaclear #boulderflood #colorado @ Heaven http://t.co/kYFYMsmtTa
478724.296340054,4429559.18164418,-105.24930558,40.01596715,12582,40.01596715,-105.24930558,1379376142,2013-09-16 18:02:22,ASU,Still not able to run or cycle on the creek path #boulderflood http://t.co/yyp2LahBRg
479451.068687386,4431593.95253122,-105.2408539,40.0343178,13052,40.0343178,-105.2408539,1379373819,2013-09-16 17:23:39,ASU,Ruined possessions continue to pile up on the sidewalks. #BoulderFlood http://t.co/xlSUUy6vqp
479526.689563774,4431037.92366271,-105.23995,40.02931,13064,40.02931,-105.23995,1379373730,2013-09-16 17:22:10,ASU,We will be on @nbcnightlynews with Brian Williams at 5:30pm MST! Tune in! #coflood #boulderflood
476328.04468808,4433631.4332227,-105.27753289,40.05259288,13081,40.05259288,-105.27753289,1379373560,2013-09-16 17:19:20,ASU,Filming disaster porn for the evening news at the end of our street. At least 2 separate film crews #boulderflood http://t.co/nzWU6Ns5MR
479526.689563774,4431037.92366271,-105.23995,40.02931,13310,40.02931,-105.23995,1379372143,2013-09-16 16:55:43,ASU,Just updated http://t.co/ZPfXFR03gO #boulderflood
481212.717351834,4426977.59921919,-105.22007215,39.99276685,13892,39.99276685,-105.22007215,1379368672,2013-09-16 15:57:52,ASU,Wet cleanup at the climbing wall. A common sight nowadays... #boulder #boulderflood @ East Boulder… http://t.co/MwXRlBpumo
477690.467394562,4432939.05864305,-105.261536,40.046392,13938,40.046392,-105.261536,1379368400,2013-09-16 15:53:20,ASU,Our local green disaster relief service delivering irrigation hoses for pumps. #boulderflood @ Boulder… http://t.co/k1pLnDNg1g
475812.021926083,4434925.51374026,-105.28363107,40.06423738,14186,40.06423738,-105.28363107,1379366773,2013-09-16 15:26:13,ASU,After a long and wet weekend we're back on track! Here come your orders! #boulderflood @ The Pro's Closet http://t.co/NtxmIIqC1B
475915.409428796,4429747.50264136,-105.28222634,40.01758838,14538,40.01758838,-105.28222634,1379364619,2013-09-16 14:50:19,ASU,"The Rain has stopped, the sun is shining, and Search &amp; Rescue flies overhead. #COflood #AHV @ Boulder, CO http://t.co/TKaT2NBMIc"
484065.639307253,4426168.89562705,-105.18663369,39.98553925,14867,39.98553925,-105.18663369,1379363020,2013-09-16 14:23:40,ASU,At a meeting with 40+ ministers from all over Boulder County talking about how best to serve our community #coflood http://t.co/NSQaqe9ceV
477991.335740871,4428596.41020297,-105.25786158,40.00727408,14873,40.00727408,-105.25786158,1379362941,2013-09-16 14:22:21,ASU,"Imagine if we didn't have school for one day, and instead we all ran with shovels to help the flood victims. #coflood"
476065.192634374,4429415.33717493,-105.28045893,40.01459994,15389,40.01459994,-105.28045893,1379359948,2013-09-16 13:32:28,ASU,"Water, this way #boulderflood @ Boulder Creek http://t.co/5aYDgOMEED"
476180.487798639,4429291.6210949,-105.27910342,40.01348856,15498,40.01348856,-105.27910342,1379359328,2013-09-16 13:22:08,ASU,Free community acupuncture @alfalfasmarket (broadway and Arapahoe) for anyone in need #boulderflood http://t.co/Ne1eAwgPGZ
476838.674580232,4429985.16471648,-105.271416,40.01975548,15700,40.01975548,-105.271416,1379358195,2013-09-16 13:03:15,ASU,StockTwits Boulder HQ lost power once again today. Had to relocate to mobile office. #boulderflood @… http://t.co/QnJ1W9jpac
476248.751014372,4429461.04968871,-105.27830976,40.01501698,15892,40.01501698,-105.27830976,1379357025,2013-09-16 12:43:45,ASU,My favorite lunch/picnic spot along the #Boulder Creek ... Is now a raging river :( #COFlood @ Central… http://t.co/AX7kI7FGjP
476065.192634374,4429415.33717493,-105.28045893,40.01459994,15911,40.01459994,-105.28045893,1379356946,2013-09-16 12:42:26,ASU,Boulder Creek #boulderflood #boulder @ Boulder Creek http://t.co/DkxvuVdE21
484713.990707446,4437817.84148672,-105.1793145,40.09050473,16056,40.09050473,-105.1793145,1379356100,2013-09-16 12:28:20,ASU,@crocs on their way for #boulderflood evacuees. http://t.co/oeJmts67HN
476654.742581603,4429355.45024744,-105.27354873,40.01407689,16502,40.01407689,-105.27354873,1379354147,2013-09-16 11:55:47,ASU,No rain and it's still flooding at the HS. #boulderflood @ Boulder High School http://t.co/9aPSHDyjXE
477194.912601188,4428680.3516797,-105.26719562,40.00800923,16773,40.00800923,-105.26719562,1379352794,2013-09-16 11:33:14,ASU,"It is no longer, ""The dog ate my homework"" but rather, ""The flood destroyed my stapler. #boulderflood"
476256.200485442,4429816.0660441,-105.27823546,40.01821577,17050,40.01821577,-105.27823546,1379351503,2013-09-16 11:11:43,ASU,The sun is finally back out in Boulder. #boulderflood @ Pearl Street Mall http://t.co/aJBUBaN5cO
481291.297240208,4430368.23969406,-105.21924939,40.02331733,17174,40.02331733,-105.21924939,1379350708,2013-09-16 10:58:28,ASU,What are this?? #Sunshine #BoulderFlood ⛅ @ Campus Publishers http://t.co/6Jfrhaevw6
480334.336888994,4431928.90737577,-105.23051136,40.03735669,17179,40.03735669,-105.23051136,1379350670,2013-09-16 10:57:50,ASU,"Big thanks to Boulder area coffee shops fire their donations! Starbucks, Panera, Ozo, Peets, and Costco! #COFlood #boulderflood"
479526.689563774,4431037.92366271,-105.23995,40.02931,17434,40.02931,-105.23995,1379349459,2013-09-16 10:37:39,ASU,Blue ski over Boulder Airport. Three Blackhawks and a Chinook just took off and headed Northwest. #BoulderFlood http://t.co/a91K2SHlNN
479526.689563774,4431037.92366271,-105.23995,40.02931,17531,40.02931,-105.23995,1379348801,2013-09-16 10:26:41,ASU,Rescuers’ encampment at the Boulder Airport. #BoulderFlood http://t.co/BqqfEedWLN
482700.883674043,4428078.81870122,-105.20266937,40.00272035,17584,40.00272035,-105.20266937,1379348518,2013-09-16 10:21:58,ASU,#boulder #mountains still covered in clouds. #cowx #colorado #boulderflood @ Baseline Lake http://t.co/ZFDoeNDlgG
478723.903322112,4429560.24049354,-105.24931022,40.01597668,17597,40.01597668,-105.24931022,1379348475,2013-09-16 10:21:15,ASU,The rain has reintroduced me to the sheer joy of a good film but would like to play in the sunshine again soon! #boulderflood #sunsback
479526.689563774,4431037.92366271,-105.23995,40.02931,17834,40.02931,-105.23995,1379347170,2013-09-16 09:59:30,ASU,@beatsbydre #BoulderFlood fundraiser: http://t.co/j24HO4hZXv http://t.co/ca5j11clPw
479526.689563774,4431037.92366271,-105.23995,40.02931,17843,40.02931,-105.23995,1379347070,2013-09-16 09:57:50,ASU,@TheCUTCH22 Be a part of something great! #BoulderFlood http://t.co/j24HO4hZXv http://t.co/0hdrl1K3FS
477789.926253584,4431379.15026511,-105.2603166,40.0323404,17882,40.0323404,-105.2603166,1379346741,2013-09-16 09:52:21,ASU,Aerial video footage of flood damage https://t.co/To9J9Hwj47 #Boulder #boulderflood
480315.307926339,4431936.59510634,-105.23073464,40.03742551,17889,40.03742551,-105.23073464,1379346713,2013-09-16 09:51:53,ASU,Type 1 coffee service courtesy of San Juan. 60 pounds brewed since Saturday. #COflood #boulderflood http://t.co/8gdiFQVCXd
477780.626031011,4431379.04425951,-105.2604256,40.0323392,17929,40.0323392,-105.2604256,1379346450,2013-09-16 09:47:30,ASU,"Power Outage near 28th &amp; Glenwood. Est restoration time is 12:15pm today. http://t.co/pihIzQWE3c #Boulder #boulderflood"
479526.689563774,4431037.92366271,-105.23995,40.02931,17947,40.02931,-105.23995,1379346355,2013-09-16 09:45:55,ASU,If anyone has suggested updates for http://t.co/ZPfXFR03gO please contact @nullempire #boulderflood
479526.689563774,4431037.92366271,-105.23995,40.02931,17953,40.02931,-105.23995,1379346309,2013-09-16 09:45:09,ASU,"Info about #boulderflood at http://t.co/ZPfXFR03gO …boulder creek height, Boulder OEM, road closings, get help, how to help, donations, etc"
478847.841302216,4428846.94302647,-105.2478347,40.0095532,17997,40.0095532,-105.2478347,1379346024,2013-09-16 09:40:24,ASU,"Boulder Creek &amp; 30st near my office #boulderflood http://t.co/uCC0UInEGR"
479526.689563774,4431037.92366271,-105.23995,40.02931,18004,40.02931,-105.23995,1379345988,2013-09-16 09:39:48,ASU,"VRC is meeting with @BoulderFlood today to assess community need &amp; volunteering! Updates: http://t.co/rHgr4MosAe #boulderflood #CUBoulder"
479526.689563774,4431037.92366271,-105.23995,40.02931,18012,40.02931,-105.23995,1379345912,2013-09-16 09:38:32,ASU,VRC is meeting with relief effort orgs today to assess community need! Keep updated: http://t.co/rHgr4MosAe #boulderflood #CUBoulder
479526.689563774,4431037.92366271,-105.23995,40.02931,18023,40.02931,-105.23995,1379345833,2013-09-16 09:37:13,ASU,VRC is meeting with relief effort orgs today to assess community need! Keep updated: http://t.co/oTFGb9XvK4 #boulderflood #CUBoulder
477920.288833403,4425242.85489179,-105.25858002,39.97705762,18157,39.97705762,-105.25858002,1379345043,2013-09-16 09:24:03,ASU,"Road closure/shelter locations map at http://t.co/ko9HDVeyIR for #Boulderflood (interactive map), Boulder, CO... http://t.co/GQkAU7Kto0"
483568.281475271,4436637.49126795,-105.19272433,40.07984864,18241,40.07984864,-105.19272433,1379344374,2013-09-16 09:12:54,ASU,Good grief #boulderflood @ diagonal highway http://t.co/oTqgKX3Bll
476261.444669049,4428067.6535815,-105.27811007,40.00246328,18350,40.00246328,-105.27811007,1379343719,2013-09-16 09:01:59,ASU,National weather service today #boulderflood http://t.co/WQLvHfkgzM @BoulderOEM @bouldercolorado @downtownboulder @boulderosmp
475791.574927821,4429655.50843699,-105.283674,40.016756,18368,40.016756,-105.283674,1379343591,2013-09-16 08:59:51,ASU,Still wet #boulderflood http://t.co/ByV7JTxiLw
488954.204228932,4420627.59695008,-105.12928172,39.93569108,18692,39.93569108,-105.12928172,1379341289,2013-09-16 08:21:29,ASU,"Entering 5th day w/o @XFINITY service = no phone, TV, Internet = no news. @ATT wireless is worthless. Realize many worse off #boulderflood"
476975.430851081,4428740.14588045,-105.26976927,40.008542,18861,40.008542,-105.26976927,1379340028,2013-09-16 08:00:28,ASU,7 of us showed up to class.. #whataturnout #coflood
477504.81904573,4428553.93516157,-105.26356026,40.00687857,18942,40.00687857,-105.26356026,1379339419,2013-09-16 07:50:19,ASU,Everyone in my class is talking about their flooded weekend #boulderflood
479526.689563774,4431037.92366271,-105.23995,40.02931,19564,40.02931,-105.23995,1379334288,2013-09-16 06:24:48,ASU,"it is still raining, hard, in gunbarrel and has been since 3am (at least). when will it stop? #boulderflood @9NEWS"
476600.532458081,4433451.62558646,-105.27433175,40.05098049,20498,40.05098049,-105.27433175,1379311257,2013-09-16 00:00:57,ASU,#boulderflood @ Crest View Elementary http://t.co/cOedojbW00
475392.158291524,4428678.4260833,-105.28831726,40.00794126,20595,40.00794126,-105.28831726,1379310151,2013-09-15 23:42:31,ASU,One #boulderflood victim shows off what he has got left... Seen at the Trident cafe. http://t.co/U6cv5nJW84
477963.306881602,4427047.56039423,-105.25813742,39.99331866,20928,39.99331866,-105.25813742,1379306854,2013-09-15 22:47:34,ASU,Thx to folks for checking on us here in boulder. We're safe and grateful for all the support in the community! #boulderflood
477787.998427347,4429585.26482869,-105.26027777,40.01617803,21608,40.01617803,-105.26027777,1379302338,2013-09-15 21:32:18,ASU,Devastation you can only see from the air. Watch @Miguelnbc Monday on @todayshow and @nbcnightlynews #coflood http://t.co/KTQR0ZJS2n
478371.111844091,4431029.01162718,-105.25349311,40.02920087,23177,40.02920087,-105.25349311,1379295728,2013-09-15 19:42:08,ASU,"@jaclynloraine: Boulder resident Darren Booth jokes he is ""unfinishing"" his basement after it was flooded. #coflood http://t.co/5nOPAx25IO"
476932.234185235,4428075.53164188,-105.27025177,40.00255285,23180,40.00255285,-105.27025177,1379295701,2013-09-15 19:41:41,ASU,Back to school tomorrow... #boulderflood
479045.120758866,4431035.01727294,-105.24559391,40.02927199,23181,40.02927199,-105.24559391,1379295696,2013-09-15 19:41:36,ASU,"Boulder resident Darren Booth jokes he is ""unfinishing"" his basement after it was flooded. #coflood"
476062.563053926,4431202.62611436,-105.28055569,40.03070273,24106,40.03070273,-105.28055569,1379291575,2013-09-15 18:32:55,ASU,Amazed at the efforts of the rescue teams in #Boulder. We had to evac and they were helpful and informative. Such heroes! #boulderflood
474595.840956834,4429149.91929994,-105.29766563,40.01216567,24736,40.01216567,-105.29766563,1379289103,2013-09-15 17:51:43,ASU,I'm muddy. Occupational hazard. #coflood http://t.co/eZ7YwTS9yG
478115.461905443,4426401.30158247,-105.25633333,39.9875,24978,39.9875,-105.25633333,1379288307,2013-09-15 17:38:27,ASU,It's been one of those weeks. @simmsfishing #boulderflood @ Fat Kid Castle http://t.co/VDSpCn0Mw9
478115.461905443,4426401.30158247,-105.25633333,39.9875,24993,39.9875,-105.25633333,1379288256,2013-09-15 17:37:36,ASU,It's been one of those weeks. #boulderflood @ Fat Kid Castle http://t.co/rlxCx7t7PN
478082.132057577,4431092.47550932,-105.2568821,40.0297652,25188,40.0297652,-105.2568821,1379287535,2013-09-15 17:25:35,ASU,Updating News Feed (Mobile) - http://t.co/fkB3cAZ4mb #Boulder #boulderflood
477722.64996045,4431829.84164079,-105.2611206,40.0363992,25343,40.0363992,-105.2611206,1379287120,2013-09-15 17:18:40,ASU,"Updated Comprehensive Flood Guide &amp; Info (Link working now!) http://t.co/ogM5NXFiux #Boulder #BoulderFlood #coflood"
474593.582435152,4429178.45066735,-105.29769321,40.01242266,26490,40.01242266,-105.29769321,1379284386,2013-09-15 16:33:06,ASU,Hardworking power crews work to repair lines downed by a #mudslide. #boulderflood http://t.co/7eq4ngAU1H
475941.809856461,4429721.07180865,-105.281916,40.017351,26688,40.017351,-105.281916,1379283819,2013-09-15 16:23:39,ASU,6 of 8 restaurants closed on this block alone. But Tahona is open! And the rain has stopped. #boulderflood http://t.co/rP4gOL5JmS
478211.034471746,4427683.15216963,-105.25525689,39.99905159,26924,39.99905159,-105.25525689,1379282881,2013-09-15 16:08:01,ASU,I'm so happy I live so close to the shady pony. Hi Brooks! #boulderflood @ Dark Horse http://t.co/2MlPgkOiNF
477377.803269185,4428274.10043771,-105.26503865,40.00435395,27041,40.00435395,-105.26503865,1379282582,2013-09-15 16:03:02,ASU,This whole the c4c being out of strawberry kiwi is pretty upsetting #boulderflood
475483.315109455,4433854.50245076,-105.28744493,40.0545785,27259,40.0545785,-105.28744493,1379281886,2013-09-15 15:51:26,ASU,"Boulder Valley School District just announced all schools will be closed Mon &amp; Tues #boulderflood"
474636.152105701,4429148.07214908,-105.29719323,40.01215024,27784,40.01215024,-105.29719323,1379280265,2013-09-15 15:24:25,ASU,There was no creek here a few days ago. Before the mud and water split this office building. #coflood http://t.co/Et6mVQ0UFk
474632.228092578,4429151.19745099,-105.29723933,40.01217828,27851,40.01217828,-105.29723933,1379280086,2013-09-15 15:21:26,ASU,Crews moving 10 feet of mud from the Canyon office complex. #Boulderflood http://t.co/I2mI9cR3MQ
476351.448212888,4433088.2674231,-105.27723868,40.04769982,27912,40.04769982,-105.27723868,1379279963,2013-09-15 15:19:23,ASU,Got about 3 feet if standing water I need to pump out. Anyone have a pump I can borrow? #boulderflood
477722.64996045,4431829.84164079,-105.2611206,40.0363992,28194,40.0363992,-105.2611206,1379279358,2013-09-15 15:09:18,ASU,Elmer's Two Mile Park is closed off to the public #Boulder #boulderflood http://t.co/VcFbgMGfec
477722.658491901,4431829.84161578,-105.2611205,40.0363992,28223,40.0363992,-105.2611205,1379279281,2013-09-15 15:08:01,ASU,"""Small Creek"" by Glenwood &amp; 28th St #Boulder #boulderflood http://t.co/t7nc8noW2c"
477774.847745023,4429848.42684038,-105.26044088,40.01854869,28297,40.01854869,-105.26044088,1379279094,2013-09-15 15:04:54,ASU,Don't worry everyone the fire danger is low today! #boulderflood #15inchesofrain #smokey @ Boulder http://t.co/qVgcUGtPqD
474635.576738429,4429155.70809424,-105.29720027,40.01221902,28325,40.01221902,-105.29720027,1379279011,2013-09-15 15:03:31,ASU,Boulder resident Kate Kellett salvages what she can from her office building split in half by mud. #coflood http://t.co/gRumOKzvCw
478721.32853111,4429561.13230086,-105.24934042,40.01598465,28463,40.01598465,-105.24934042,1379278660,2013-09-15 14:57:40,ASU,"@GonzoHar thanks we are fine, typical Alex is over for a visit and its been raining for 4 days. Feel bad for people displaced #boulderflood"
474637.847592192,4429152.32303604,-105.29717353,40.01218859,28473,40.01218859,-105.29717353,1379278628,2013-09-15 14:57:08,ASU,Wall of mud splits Boulder office building. Live in a few minutes. #coflood http://t.co/pzQGveRu3G
476347.364670424,4433607.80709281,-105.27730552,40.05238056,28526,40.05238056,-105.27730552,1379278465,2013-09-15 14:54:25,ASU,Crest View Elementary #boulderflood http://t.co/ZSuciiPR6Z
479277.523138925,4426299.71134499,-105.242719,39.986614,28646,39.986614,-105.242719,1379278115,2013-09-15 14:48:35,ASU,The #boulderflood continues http://t.co/JVVfxTCIhh
